rank,university,city,state,peer_assessment_score,tier,s_j,q1_geographic_setting,q2_region,q3_airport_proximity,q4_cost_of_living,q5_dual_career,q6_typical_salary_range,q7_typical_startup,q8_guaranteed_summer,q9_typical_teaching_load,q10_course_types,q11_mentoring_program,q12_research_culture,q13_publication_venues,q14_phd_student_ratio,q15_medical_school_proximity,public_private,university_size
11,North Carolina State University,Raleigh,NC,4.1,Tier 2,0.7749999999999999,B,Southeast,B,82908.066,Y,105307.8,C,B,C,B,A,D,E,3.012349391447934,0,Public,Large
11,University of North Carolina--Chapel Hill,Chapel Hill,NC,4.1,Tier 2,0.7749999999999999,C,Southeast,B,84151.008,Y,105307.8,D,B,B,B,A,C,B,2.9387983863594216,1,Public,Large
13,Cornell University,Ithaca,NY,4,Tier 2,0.75,C,Northeast,C,97221.48804,Y,110987.5,D,B,B,B,A,C,B,3.0421443275472604,1,Private,Large
13,Texas A&M University--College Station,College Station,TX,4,Tier 2,0.75,C,Southwest,C,67040.75184,Y,115281.40000000001,C,B,C,B,A,C,B,3.1909079971386576,1,Public,Very Large
13,University of California--Davis,Davis,CA,4,Tier 2,0.75,C,West Coast,B,91093.08696,Y,131510.6,C,B,C,B,A,C,B,3.059761175444246,1,Public,Very Large
13,University of Minnesota--Twin Cities,Minneapolis,MN,4,Tier 2,0.75,B,Midwest,A,92792.94383999999,Y,101907,C,B,C,B,A,D,E,3.3334890703923903,1,Public,Very Large
13,University of Wisconsin--Madison,Madison,WI,4,Tier 2,0.75,B,Midwest,B,84673.32708,Y,106133.3,C,B,C,B,A,D,E,3.250236819257679,1,Public,Very Large
13,Yale University,New Haven,CT,4,Tier 2,0.75,C,Northeast,B,88957.6746,N,119519.40000000001,D,B,B,B,B,C,B,2.8646323272966967,1,Private,Medium
19,Iowa State University,Ames,IA,3.9,Tier 2,0.725,C,Midwest,C,74376.37524000001,Y,94582.8,C,B,B,B,A,D,E,2.7418324749122034,0,Public,Large
19,Pennsylvania State University,University Park,PA,3.9,Tier 2,0.725,C,Northeast,C,82482.79956,Y,107294.2,C,B,C,B,A,C,B,3.4503028468320798,1,Public,Very Large
19,University of California--Los Angeles,Los Angeles,CA,3.9,Tier 2,0.725,A,West Coast,A,97766.38704,Y,131510.6,D,B,C,B,A,C,B,3.2271982029769757,1,Public,Very Large
22,Purdue University--West Lafayette,West Lafayette,IN,3.8,Tier 2,0.7,C,Midwest,C,74132.97611999999,Y,103372.1,C,B,C,B,A,D,E,2.666400741437678,0,Public,Very Large
22,University of Illinois--Urbana-Champaign,Champaign,IL,3.8,Tier 2,0.7,C,Midwest,C,76261.39752,Y,115745.5,C,B,C,B,A,C,B,3.231817917066849,1,Public,Very Large
24,Ohio State University,Columbus,OH,3.7,Tier 2,0.675,B,Midwest,A,72589.03164,N,98135.7,C,C,B,B,B,C,B,2.450017629575794,1,Public,Small
24,Rutgers University--New Brunswick,Piscataway,NJ,3.7,Tier 2,0.675,C,Northeast,A,94346.08788,Y,117646.1,C,B,C,B,A,C,B,3.7881852442007595,1,Public,Very Large
26,University of Florida,Gainesville,FL,3.6,Tier 3,0.65,C,Southeast,B,73451.1642,Y,79599,C,C,C,D,B,C,B,2.549170128601999,1,Public,Very Large
27,University of California--Irvine,Irvine,CA,3.5,Tier 3,0.625,A,West Coast,A,111909.20808,N,101162,C,C,C,B,B,C,B,2.8370525110731344,1,Public,Large
27,University of Texas--Austin,Austin,TX,3.5,Tier 3,0.625,B,Southwest,A,79991.74224,Y,88678,B,C,C,D,B,C,B,3.129874170187294,1,Public,Very Large
29,Rice University,Houston,TX,3.4,Tier 3,0.6,A,Southwest,A,68223.9888,Y,88678,C,C,B,B,C,D,E,2.00135907361894,0,Private,Small
30,Colorado State University,Fort Collins,CO,3.3,Tier 3,0.575,B,West Coast,B,91469.7474,N,85212,B,C,C,B,B,D,E,2.336755208663485,0,Public,Small
30,Florida State University,Tallahassee,FL,3.3,Tier 3,0.575,C,Southeast,B,71957.0094,Y,79599,C,C,C,D,B,C,B,2.5882416456760007,1,Public,Very Large
30,Michigan State University,East Lansing,MI,3.3,Tier 3,0.575,C,Midwest,C,70359.97944,Y,84494,B,C,C,D,B,C,B,3.110849504328943,1,Public,Very Large
30,University of Connecticut,Storrs,CT,3.3,Tier 3,0.575,C,Northeast,C,93605.17476,Y,91938,B,C,C,B,B,C,B,2.3557126329191718,1,Public,Large
30,University of Iowa,Iowa City,IA,3.3,Tier 3,0.575,C,Midwest,C,78323.4192,Y,72756,B,C,C,B,B,C,B,3.1311227838784017,1,Public,Large
35,University of Georgia,Athens,GA,3.2,Tier 3,0.55,C,Southeast,C,64832.488079999996,Y,114925.10345131424,B,C,C,D,B,C,B,2.971924740140385,1,Public,Very Large
35,University of Pittsburgh,Pittsburgh,PA,3.2,Tier 3,0.55,B,Northeast,A,72874.88364,N,82534,B,C,C,B,B,C,B,2.314157944954901,1,Public,Small
37,New York University,New York,NY,3.1,Tier 3,0.525,A,Northeast,A,137874.70452,Y,85375,C,C,C,B,C,C,B,2.9962923681684863,1,Private,Large
37,Northwestern University,Evanston,IL,3.1,Tier 3,0.525,C,Midwest,B,81548.254319999993,N,89035,C,C,B,B,C,D,E,2.1111056348073705,1,Private,Medium
37,University of Missouri--Columbia,Columbia,MO,3.1,Tier 3,0.525,C,Midwest,C,74433.64296,Y,75541,B,C,C,B,B,C,B,2.9772290865981748,1,Public,Large
37,Virginia Tech,Blacksburg,VA,3.1,Tier 3,0.525,C,Southeast,C,81665.5638,Y,84592,B,C,C,D,B,C,B,2.511125959935661,1,Public,Very Large
41,Boston University,Boston,MA,3,Tier 3,0.5,B,Northeast,A,122494.87931999999,N,99661,C,C,B,B,C,C,B,2.210797047448329,1,Private,Large
41,George Washington University,Washington,DC,3,Tier 3,0.5,A,Northeast,A,120289.63692,N,100385,C,C,B,B,C,C,B,2.386188018694111,1,Private,Medium
41,University of California--San Diego,La Jolla,CA,3,Tier 3,0.5,A,West Coast,A,106768.99884,Y,101162,C,C,B,D,B,C,B,3.0122982906756786,1,Public,Very Large
44,Temple University,Philadelphia,PA,2.9,Tier 3,0.475,A,Northeast,A,78477.67056,Y,82534,C,C,C,B,B,C,B,2.5972258193740854,1,Public,Large
44,University of California--Riverside,Riverside,CA,2.9,Tier 3,0.475,A,West Coast,A,83185.1028,N,101162,C,C,C,B,B,C,B,2.4099215420548203,1,Public,Large
44,University of California--Santa Barbara,Santa Barbara,CA,2.9,Tier 3,0.475,C,West Coast,B,116973.29796,N,101162,C,C,C,B,B,D,E,2.4939498129190603,0,Public,Large
44,University of California--Santa Cruz,Santa Cruz,CA,2.9,Tier 3,0.475,C,West Coast,B,137829.51408,N,101162,B,C,C,B,B,D,E,2.80361242725869,0,Public,Large
44,University of Virginia,Charlottesville,VA,2.9,Tier 3,0.475,C,Southeast,C,90203.19288,Y,84592,C,C,C,B,B,C,B,2.1103718079434675,1,Public,Large
49,Arizona State University,Tempe,AZ,2.8,Tier 3,0.44999999999999996,A,Southwest,A,82847.376,N,86872,C,C,C,B,B,C,B,2.76839747335745,1,Public,Small
49,University of Rochester,Rochester,NY,2.8,Tier 3,0.44999999999999996,C,Northeast,B,84268.77275999999,N,85375,B,C,C,B,B,C,B,2.2812790096253175,1,Public,Medium
51,University of Illinois--Chicago,Chicago,IL,2.7,Tier 4,0.42500000000000004,A,Midwest,A,81548.254319999993,Y,80131.5,B,D,C,D,C,D,E,2.3452927459464683,1,Public,Large
51,University of Massachusetts--Amherst,Amherst,MA,2.7,Tier 4,0.42500000000000004,C,Northeast,B,93593.23991999999,Y,89694.90000000001,B,D,C,D,C,D,E,1.6439111951158598,1,Public,Large
51,University of South Carolina,Columbia,SC,2.7,Tier 4,0.42500000000000004,C,Southeast,C,70478.52276,N,68060.7,B,D,C,D,C,D,E,1.834847295661933,1,Public,Small
54,George Mason University,Fairfax,VA,2.6,Tier 4,0.4,C,Southeast,B,110032.49724,N,76132.8,B,D,B,D,C,B,E,1.6602886718565848,0,Public,Large
54,Indiana University--Bloomington,Bloomington,IN,2.6,Tier 4,0.4,C,Midwest,C,77917.7376,Y,71565.3,B,C,D,D,C,D,E,2.377426072483369,1,Public,Very Large
54,Oregon State University,Corvallis,OR,2.6,Tier 4,0.4,C,West Coast,C,90421.69847999999,Y,104953.7859933517,B,D,B,D,C,D,E,1.6306758215998358,0,Public,Large
54,SMU,Dallas,TX,2.6,Tier 4,0.4,A,Southwest,A,72227.77716,Y,79810.2,B,D,C,D,C,D,E,1.5923564776361117,0,Private,Medium
54,University of Arizona,Tucson,AZ,2.6,Tier 4,0.4,B,Southwest,B,70794.96048000001,Y,78184.8,B,C,D,D,C,D,E,2.8040666202848374,1,Public,Very Large
54,University of Maryland--Baltimore County,Baltimore,MD,2.6,Tier 4,0.4,B,Northeast,A,79874.61624,N,125526.19285401945,B,A,C,D,C,B,E,1.776539191096474,1,Public,Medium
54,Washington University in St. Louis,St. Louis,MO,2.6,Tier 4,0.4,A,Midwest,A,74576.04144,N,67986.90000000001,C,D,C,D,C,D,E,1.843053819755703,1,Private,Medium
61,Clemson University,Clemson,SC,2.5,Tier 4,0.375,C,Southeast,C,64828.88436,Y,68060.7,C,D,C,D,C,D,E,1.4220877782381816,0,Public,Large
61,University of Notre Dame,Notre Dame,IN,2.5,Tier 4,0.375,A,Midwest,D,73174.84908,Y,71565.3,B,D,B,D,C,D,E,1.748958272352406,0,Public,Medium
63,Case Western Reserve University,Cleveland,OH,2.4,Tier 4,0.35,B,Midwest,A,66327.70488,N,67940.1,B,D,B,D,C,D,E,2.0404572227365216,1,Private,Medium
63,University of Cincinnati,Cincinnati,OH,2.4,Tier 4,0.35,B,Midwest,A,68470.83216,Y,67940.1,B,D,D,D,C,D,E,1.9089303608710302,1,Public,Large
63,University of Kentucky,Lexington,KY,2.4,Tier 4,0.35,C,Southeast,B,74767.80564,Y,59848.200000000004,B,D,C,D,C,D,E,2.4702692547763276,1,Public,Large
66,Baylor University,Waco,TX,2.3,Tier 4,0.32499999999999996,C,Southwest,C,65655.02952,Y,79810.2,B,D,C,D,C,D,E,1.8076987124719417,1,Private,Large
66,Kansas State University,Manhattan,KS,2.3,Tier 4,0.32499999999999996,C,Midwest,C,78771.98376,N,62152.200000000004,B,D,C,D,C,D,E,1.2369966156334113,0,Public,Medium
66,University of Nebraska,Lincoln,NE,2.3,Tier 4,0.32499999999999996,C,Midwest,B,76867.89576,Y,68956.2,B,D,C,D,C,D,E,1.5320386187927437,1,Public,Medium
66,University of Texas--Dallas,Richardson,TX,2.3,Tier 4,0.32499999999999996,C,Southwest,A,72227.77716,N,79810.2,B,D,B,D,C,D,E,3.3863539788872004,0,Public,Large
70,University of Colorado--Denver,Denver,CO,2.2,Tier 4,0.30000000000000004,A,West Coast,A,91534.85376,N,76690.8,B,D,C,D,C,D,E,1.8130051438270156,1,Public,Medium
70,University of North Carolina--Charlotte,Charlotte,NC,2.2,Tier 4,0.30000000000000004,A,Southeast,A,82007.23488,N,72905.40000000001,B,D,C,D,C,D,E,2.2332056357873546,1,Public,Large
72,Binghamton University--SUNY,Binghamton,NY,2.1,Tier 4,0.275,C,Northeast,B,80305.6278,N,76837.5,B,D,C,D,C,D,E,1.7222528560372892,1,Public,Medium
72,Bowling Green State University,Bowling Green,OH,2.1,Tier 4,0.275,C,Midwest,C,68044.08276,N,67940.1,B,B,C,D,C,D,E,1.4502527155918992,0,Public,Small
72,Lehigh University,Bethlehem,PA,2.1,Tier 4,0.275,C,Northeast,B,84041.19144,Y,74280.6,B,D,C,D,C,D,E,1.8296566691203837,1,Private,Medium
72,University of Central Florida,Orlando,FL,2.1,Tier 4,0.275,B,Southeast,A,78305.68824,Y,71639.1,B,C,D,D,C,D,E,2.7927315688012446,1,Public,Very Large
72,University of New Mexico,Albuquerque,NM,2.1,Tier 4,0.275,B,Southwest,A,67375.24092,N,64791.9,B,D,C,D,C,D,E,2.67218329648,1,Public,Large
72,Washington State University,Pullman,WA,2.1,Tier 4,0.275,D,West Coast,D,68633.85444,N,78162.3,B,D,C,D,C,D,E,1.832785846375231,1,Public,Large
72,Worcester Polytechnic Institute,Worcester,MA,2.1,Tier 4,0.275,C,Northeast,B,91083.4434,N,89694.90000000001,B,D,C,D,C,B,E,1.9765510471406054,0,Private,Medium
79,Auburn University,Auburn,AL,2,Tier 4,0.25,D,Southeast,D,75171.82212,Y,101412.37101760657,B,D,D,D,C,D,E,2.832949429619717,1,Public,Large
79,University of Texas--San Antonio,San Antonio,TX,2,Tier 4,0.25,A,Southwest,A,66248.04288,Y,79810.2,B,D,D,D,C,D,E,2.357864090753838,1,Public,Large
79,Utah State University,Logan,UT,2,Tier 4,0.25,B,West Coast,C,69758.86764,Y,74619.90000000001,B,D,C,D,C,D,E,3.47755213920027,1,Public,Large
82,Montana State University,Bozeman,MT,1.9,Tier 4,0.22499999999999998,C,West Coast,C,84836.56716,N,57657.6,B,D,C,D,C,D,E,1.4653018219121199,1,Public,Medium
82,New Jersey Institute of Technology,Newark,NJ,1.9,Tier 4,0.22499999999999998,C,Northeast,A,90801.2532,N,81447.3,D,D,C,D,C,B,E,1.6172119850338829,0,Public,Medium
82,Northern Illinois University,DeKalb,IL,1.9,Tier 4,0.22499999999999998,C,Midwest,B,84111.27492,N,80131.5,B,D,C,D,C,D,E,1.3639630817005652,0,Public,Medium
82,University of Alabama,Tuscaloosa,AL,1.9,Tier 4,0.22499999999999998,C,Southeast,B,73247.66832,N,68630.40000000001,B,C,D,D,C,D,E,2.258646461547888,1,Public,Very Large
86,Marquette University,Milwaukee,WI,1.8,Tier 4,0.2,B,Midwest,A,72420.59556,Y,117104.62942184514,B,D,C,D,C,D,E,2.038041640643203,1,Private,Medium
86,Oklahoma State University,Stillwater,OK,1.8,Tier 4,0.2,C,Southwest,C,71900.04372,Y,66914.1,B,D,B,D,C,D,E,2.3583325529008743,1,Public,Large
86,Portland State University,Portland,OR,1.8,Tier 4,0.2,B,West Coast,A,96937.56072,N,72812.7,B,D,C,D,C,D,E,1.4884552988041135,0,Public,Medium
86,University of Arkansas,Fayetteville,AR,1.8,Tier 4,0.2,C,Southwest,C,66482.75208,N,59760.9,B,D,D,D,C,D,E,2.959676828148947,1,Public,Large
86,University of North Carolina--Greensboro,Greensboro,NC,1.8,Tier 4,0.2,C,Southeast,B,68674.42644,N,72905.40000000001,B,D,C,D,C,D,E,1.6472514373062543,0,Public,Medium
86,University of South Florida,Tampa,FL,1.8,Tier 4,0.2,A,Southeast,A,76886.60832,N,71639.1,B,C,D,D,C,D,E,2.449405666442697,1,Public,Very Large
92,Central Michigan University,Mount Pleasant,MI,1.7,Tier 4,0.175,D,Midwest,C,65116.14708,N,76044.6,B,D,C,D,C,D,E,2.0103900345005954,1,Public,Medium
92,Michigan Technological University,Houghton,MI,1.7,Tier 4,0.175,D,Midwest,D,70862.39628,N,76044.6,B,D,C,D,C,B,E,1.4749355744792914,0,Public,Medium
92,Old Dominion University,Norfolk,VA,1.7,Tier 4,0.175,C,Southeast,B,77374.08792,N,76132.8,B,D,C,D,C,D,E,1.826649002002223,1,Public,Large
92,University of Nevada--Reno,Reno,NV,1.7,Tier 4,0.175,B,West Coast,A,81642.80544,Y,83907.90000000001,B,D,C,D,C,D,E,2.2258118346456626,1,Public,Large
96,South Dakota State University,Madison,SD,1.6,Tier 4,0.15000000000000002,C,Midwest,C,69192.50232,N,66701.7,B,D,C,D,C,D,E,1.737310022779409,0,Public,Medium
96,University of Toledo,Toledo,OH,1.6,Tier 4,0.15000000000000002,C,Midwest,B,65064.56472,Y,67940.1,B,D,C,D,C,D,E,1.995700514005578,1,Public,Medium
96,Western Michigan University,Kalamazoo,MI,1.6,Tier 4,0.15000000000000002,C,Midwest,C,72649.4532,Y,76044.6,B,D,C,D,C,D,E,1.9928945527245132,1,Public,Medium
99,North Dakota State University,Fargo,ND,1.5,Tier 4,0.125,C,Midwest,B,79386.29699999999,Y,64081.8,B,D,C,D,C,D,E,1.5393041004128563,0,Public,Medium
99,Oakland University,Rochester Hills,MI,1.5,Tier 4,0.125,C,Midwest,B,79596.8724,N,76044.6,B,D,C,D,C,D,E,2.1119849724938438,1,Public,Medium
99,University of Northern Colorado,Greeley,CO,1.5,Tier 4,0.125,C,West Coast,C,85381.90464000001,Y,76690.8,B,D,C,D,C,D,E,1.5791518358737058,1,Public,Medium
