rank,university,city,state,peer_assessment_score,tier,q5_dual_career,q6_typical_salary_range,q7_typical_startup,q8_guaranteed_summer,q9_typical_teaching_load,q10_course_types,q11_mentoring_program,q12_research_culture,q13_publication_venues,q14_phd_student_ratio,q15_medical_school_proximity,department_size_faculty,department_size_phd_students,q1_geographic_setting,q2_region,q3_airport_proximity,q4_cost_of_living,has_match,public_private,n_undergrads,university_size,cost_avg,rate_admissions,locale_type,s_j
22,Purdue University--West Lafayette,West Lafayette,IN,3.8,Tier 2,Y,103372.1,C,B,C,B,A,D,E,2.6664007414376782,0,NA,NA,C,Midwest,C,74132.97611999999,TRUE,Public,38438,Very Large,14000,0.52704791344667,City,0.676470588235294
22,University of Illinois--Urbana-Champaign,Champaign,IL,3.8,Tier 2,Y,115745.5,C,B,C,B,A,C,B,3.231817917066849,1,NA,NA,C,Midwest,C,76261.39752,TRUE,Public,34031,Very Large,16109,0.4482349779471,City,0.676470588235294
24,Ohio State University,Columbus,OH,3.7,Tier 2,N,98135.7,C,C,B,B,B,C,B,2.450017629575794,1,NA,NA,B,Midwest,A,72589.03164,TRUE,Public,731,Small,12924,0.52723619015478,Rural,0.6470588235294118
24,Rutgers University--New Brunswick,Piscataway,NJ,3.7,Tier 2,Y,117646.1,C,B,C,B,A,C,B,3.7881852442007595,1,NA,NA,C,Northeast,A,94346.08788,TRUE,Public,36090,Very Large,22675,0.6965925532229,City,0.6470588235294118
26,University of Florida,Gainesville,FL,3.6,Tier 3,Y,79599,C,C,C,D,B,C,B,2.549170128601999,1,NA,NA,C,Southeast,B,73451.1642,TRUE,Public,33673,Very Large,6275,0.24287576547626,City,0.6176470588235293
27,University of California--Irvine,Irvine,CA,3.5,Tier 3,N,101162,C,C,C,B,B,C,B,2.8370525110731344,1,NA,NA,A,West Coast,A,111909.20808,TRUE,Public,28651,Large,12426,0.21152603803978,City,0.588235294117647
27,University of Texas--Austin,Austin,TX,3.5,Tier 3,Y,88678,B,C,C,D,B,C,B,3.129874170187294,1,NA,NA,B,Southwest,A,79991.74224,TRUE,Public,40980,Very Large,18850,0.31354591624344,City,0.588235294117647
29,Rice University,Houston,TX,3.4,Tier 3,Y,88678,C,C,B,B,C,D,E,2.00135907361894,0,NA,NA,A,Southwest,A,68223.9888,TRUE,Private,4480,Small,15091,0.08682377635721,City,0.5588235294117646
30,Colorado State University,Fort Collins,CO,3.3,Tier 3,N,85212,B,C,C,B,B,D,E,2.3367552086634853,0,NA,NA,C,West Coast,B,91469.7474,TRUE,Public,3008,Small,12815,0.98791348600508,City,0.5294117647058822
30,Florida State University,Tallahassee,FL,3.3,Tier 3,Y,79599,C,C,C,D,B,C,B,2.588241645676001,1,NA,NA,C,Southeast,B,71957.0094,TRUE,Public,32691,Very Large,6450,0.25038418194857,City,0.5294117647058822
30,Michigan State University,East Lansing,MI,3.3,Tier 3,Y,84494,B,C,C,D,B,C,B,3.110849504328943,1,NA,NA,C,Midwest,C,70359.97944,TRUE,Public,39021,Very Large,19449,0.87951107028364,City,0.5294117647058822
30,University of Connecticut,Storrs,CT,3.3,Tier 3,Y,91938,B,C,C,B,B,C,B,2.3557126329191718,1,NA,NA,C,Northeast,C,93605.17476,TRUE,Public,18768,Large,23512,0.62407436584213,Town,0.5294117647058822
30,University of Iowa,Iowa City,IA,3.3,Tier 3,Y,72756,B,C,C,B,B,C,B,3.1311227838784017,1,NA,NA,C,Midwest,C,78323.4192,TRUE,Public,21545,Large,20426,0.86004119864744,City,0.5294117647058822
35,University of Georgia,Athens,GA,3.2,Tier 3,Y,80417,B,C,C,D,B,C,B,2.971924740140385,1,NA,NA,C,Southeast,C,64832.488079999996,TRUE,Public,30566,Very Large,15117,0.42545778229908,City,0.5
35,University of Pittsburgh,Pittsburgh,PA,3.2,Tier 3,N,82534,B,C,C,B,B,C,B,2.314157944954901,1,NA,NA,B,Northeast,A,72874.88364,TRUE,Public,1051,Small,17215,0.5746237490526,Town,0.5
37,New York University,New York,NY,3.1,Tier 3,Y,85375,C,C,C,B,C,C,B,2.9962923681684863,1,NA,NA,A,Northeast,A,137874.70452,TRUE,Private,29136,Large,32462,0.12456537720291,City,0.47058823529411764
37,Northwestern University,Evanston,IL,3.1,Tier 3,N,89035,C,C,B,B,C,D,E,2.1111056348073705,1,NA,NA,C,Midwest,B,81548.254319999993,TRUE,Private,8837,Medium,25057,0.07208208969782,City,0.47058823529411764
37,University of Missouri--Columbia,Columbia,MO,3.1,Tier 3,Y,75541,B,C,C,B,B,C,B,2.9772290865981748,1,NA,NA,C,Midwest,C,74433.64296,TRUE,Public,23206,Large,19979,0.79126237501847,City,0.47058823529411764
37,Virginia Tech,Blacksburg,VA,3.1,Tier 3,Y,84592,B,C,C,D,B,C,B,2.511125959935661,1,NA,NA,C,Southeast,C,81665.5638,TRUE,Public,30339,Very Large,20292,0.56982414333311,City,0.47058823529411764
41,Boston University,Boston,MA,3,Tier 3,N,99661,C,C,B,B,C,C,B,2.210797047448329,1,NA,NA,B,Northeast,A,122494.87931999999,TRUE,Private,17668,Large,27779,0.14365810188623,City,0.4411764705882352
41,George Washington University,Washington,DC,3,Tier 3,N,100385,C,C,B,B,C,C,B,2.386188018694111,1,NA,NA,A,Northeast,A,120289.63692,TRUE,Private,10798,Medium,34462,0.4897674759774,City,0.4411764705882352
41,University of California--San Diego,La Jolla,CA,3,Tier 3,Y,101162,C,C,C,D,B,C,B,3.0122982906756786,1,NA,NA,A,West Coast,A,106768.99884,TRUE,Public,33092,Very Large,15069,0.23707096961058,City,0.4411764705882352
44,Temple University,Philadelphia,PA,2.9,Tier 3,Y,82534,C,C,C,B,B,C,B,2.5972258193740854,1,NA,NA,A,Northeast,A,78477.67056,TRUE,Public,23697,Large,23742,0.79700512077794,City,0.41176470588235287
44,University of California--Riverside,Riverside,CA,2.9,Tier 3,N,101162,C,C,C,B,B,C,B,2.4099215420548203,1,NA,NA,A,West Coast,A,83185.1028,TRUE,Public,22842,Large,14306,0.68692280964833,City,0.41176470588235287
44,University of California--Santa Barbara,Santa Barbara,CA,2.9,Tier 3,N,101162,C,C,C,B,B,D,E,2.4939498129190603,0,NA,NA,C,West Coast,B,116973.29796,TRUE,Public,23419,Large,15482,0.25846209288706,Suburb,0.41176470588235287
44,University of California--Santa Cruz,Santa Cruz,CA,2.9,Tier 3,N,101162,B,C,C,B,B,D,E,2.8036124272586895,0,NA,NA,C,West Coast,B,137829.51408,TRUE,Public,17502,Large,17601,0.46920135938827,City,0.41176470588235287
44,University of Virginia,Charlottesville,VA,2.9,Tier 3,Y,84592,C,C,C,B,B,C,B,2.1103718079434675,1,NA,NA,C,Southeast,C,90203.19288,TRUE,Public,17103,Large,23101,0.18660409221222,Suburb,0.41176470588235287
49,Arizona State University,Tempe,AZ,2.8,Tier 3,N,86872,C,C,C,B,B,C,B,2.76839747335745,1,NA,NA,A,Southwest,A,82847.376,TRUE,Public,4540,Small,8101,0.8189,NA,0.3823529411764705
49,University of Rochester,Rochester,NY,2.8,Tier 3,N,85375,B,C,C,B,B,C,B,2.2812790096253175,1,NA,NA,C,Northeast,B,84268.77275999999,TRUE,Public,6569,Medium,30902,0.38906140438745,City,0.3823529411764705
51,University of Illinois--Chicago,Chicago,IL,2.7,Tier 4,Y,80131.5,B,D,C,D,C,D,E,2.3452927459464687,1,NA,NA,A,Midwest,A,81548.254319999993,TRUE,Public,21567,Large,11139,0.78690263984381,City,0.35294117647058826
51,University of Massachusetts--Amherst,Amherst,MA,2.7,Tier 4,Y,89694.90000000001,B,D,C,D,C,D,E,1.64391119511586,1,NA,NA,C,Northeast,B,93593.23991999999,TRUE,Public,24111,Large,21846,0.63521154650062,City,0.35294117647058826
51,University of South Carolina,Columbia,SC,2.7,Tier 4,N,68060.7,B,D,C,D,C,D,E,1.8348472956619328,1,NA,NA,C,Southeast,C,70478.52276,TRUE,Public,253,Small,11112,0.80084745762711,Town,0.35294117647058826
54,George Mason University,Fairfax,VA,2.6,Tier 4,N,76132.8,B,D,D,D,C,B,E,1.6602886718565848,0,NA,NA,C,Southeast,B,110032.49724,TRUE,Public,26447,Large,17385,0.90000499975001,Suburb,0.3235294117647059
54,Indiana University--Bloomington,Bloomington,IN,2.6,Tier 4,Y,71565.3,B,C,D,D,C,D,E,2.377426072483369,1,NA,NA,C,Midwest,C,77917.7376,TRUE,Public,35401,Very Large,15878,0.82412140575079,City,0.3235294117647059
54,Oregon State University,Corvallis,OR,2.6,Tier 4,Y,72812.7,B,D,D,D,C,D,E,1.6306758215998358,0,NA,NA,C,West Coast,C,90421.69847999999,TRUE,Public,28407,Large,18894,0.82261784633126,City,0.3235294117647059
54,SMU,Dallas,TX,2.6,Tier 4,Y,79810.2,B,D,C,D,C,D,E,1.5923564776361117,0,NA,NA,A,Southwest,A,72227.77716,TRUE,Private,7044,Medium,40849,0.5225386996904,Suburb,0.3235294117647059
54,University of Arizona,Tucson,AZ,2.6,Tier 4,Y,78184.8,B,C,D,D,C,D,E,2.8040666202848374,1,NA,NA,B,Southwest,B,70794.96048000001,TRUE,Public,37979,Very Large,14721,0.86759708970839,City,0.3235294117647059
54,University of Maryland--Baltimore County,Baltimore,MD,2.6,Tier 4,N,79470.90000000001,B,D,C,D,C,B,E,1.776539191096474,1,NA,NA,B,Northeast,A,79874.61624,TRUE,Public,10557,Medium,19319,0.80553147216923,Suburb,0.3235294117647059
54,Washington University in St. Louis,St. Louis,MO,2.6,Tier 4,N,67986.90000000001,C,D,C,D,C,D,E,1.843053819755703,1,NA,NA,A,Midwest,A,74576.04144,TRUE,Private,7801,Medium,20768,0.11757356156681,Suburb,0.3235294117647059
61,Clemson University,Clemson,SC,2.5,Tier 4,Y,68060.7,B,D,C,D,C,D,E,1.4220877782381816,0,NA,NA,C,Southeast,C,64828.88436,TRUE,Public,22467,Large,22433,0.42984532081258,Suburb,0.2941176470588235
61,University of Notre Dame,Notre Dame,IN,2.5,Tier 4,Y,71565.3,B,D,C,D,C,D,E,1.748958272352406,0,NA,NA,D,Midwest,D,73174.84908,TRUE,Public,8917,Medium,29974,0.12905051114715,Suburb,0.2941176470588235
63,Case Western Reserve University,Cleveland,OH,2.4,Tier 4,N,67940.1,B,D,C,D,C,D,E,2.0404572227365216,1,NA,NA,B,Midwest,A,66327.70488,TRUE,Private,5927,Medium,37730,0.27407560528151,City,0.2647058823529411
63,University of Cincinnati,Cincinnati,OH,2.4,Tier 4,Y,67940.1,B,D,D,D,C,D,E,1.9089303608710302,1,NA,NA,B,Midwest,A,68470.83216,TRUE,Public,27880,Large,21804,0.8621533161068,City,0.2647058823529411
63,University of Kentucky,Lexington,KY,2.4,Tier 4,Y,59848.200000000004,B,D,C,D,C,D,E,2.4702692547763276,1,NA,NA,C,Southeast,B,74767.80564,TRUE,Public,22115,Large,16328,0.94888959247365,City,0.2647058823529411
66,Baylor University,Waco,TX,2.3,Tier 4,Y,79810.2,B,D,C,D,C,D,E,1.8076987124719417,1,NA,NA,C,Southwest,C,65655.02952,TRUE,Private,15134,Large,37911,0.45883738620469,City,0.23529411764705874
66,Kansas State University,Manhattan,KS,2.3,Tier 4,N,62152.200000000004,B,D,C,D,C,D,E,1.2369966156334111,0,NA,NA,C,Midwest,C,78771.98376,TRUE,Public,14762,Medium,17861,0.95137028642077,City,0.23529411764705874
66,University of Nebraska,Lincoln,NE,2.3,Tier 4,Y,68956.2,B,D,C,D,C,D,E,1.5320386187927437,1,NA,NA,C,Midwest,B,76867.89576,TRUE,Public,11866,Medium,12670,0.85861561119293,City,0.23529411764705874
66,University of Texas--Dallas,Richardson,TX,2.3,Tier 4,N,79810.2,B,D,C,D,C,D,E,1.4016407698089537,0,NA,NA,C,Southwest,A,72227.77716,TRUE,Public,21586,Large,16987,0.84744186046511,City,0.23529411764705874
70,University of Colorado--Denver,Denver,CO,2.2,Tier 4,N,76690.8,B,D,C,D,C,D,E,1.8130051438270156,1,NA,NA,A,West Coast,A,91534.85376,TRUE,Public,10922,Medium,13782,0.74582560296846,City,0.2058823529411765
70,University of North Carolina--Charlotte,Charlotte,NC,2.2,Tier 4,N,72905.40000000001,B,D,C,D,C,D,E,2.2332056357873546,1,NA,NA,A,Southeast,A,82007.23488,TRUE,Public,23063,Large,15018,0.79639428705221,City,0.2058823529411765
72,Binghamton University--SUNY,Binghamton,NY,2.1,Tier 4,N,76837.5,B,D,C,D,C,D,E,1.7222528560372892,1,NA,NA,C,Northeast,B,80305.6278,TRUE,Public,14398,Medium,21594,0.4174631381778,Suburb,0.17647058823529413
72,Bowling Green State University,Bowling Green,OH,2.1,Tier 4,N,67940.1,B,D,C,D,C,D,E,1.4502527155918992,0,NA,NA,C,Midwest,C,68044.08276,TRUE,Public,1082,Small,15408,0.786553562217,Rural,0.17647058823529413
72,Lehigh University,Bethlehem,PA,2.1,Tier 4,Y,74280.6,B,D,C,D,C,D,E,1.8296566691203837,1,NA,NA,C,Northeast,B,84041.19144,TRUE,Private,5612,Medium,32125,0.36978170546725,City,0.17647058823529413
72,University of Central Florida,Orlando,FL,2.1,Tier 4,Y,71639.1,B,C,D,D,C,D,E,2.7927315688012446,1,NA,NA,B,Southeast,A,78305.68824,TRUE,Public,57874,Very Large,9949,0.4103534205213,Suburb,0.17647058823529413
72,University of New Mexico,Albuquerque,NM,2.1,Tier 4,N,64791.9,B,D,C,D,C,D,E,2.67218329648,1,NA,NA,B,Southwest,A,67375.24092,TRUE,Public,15642,Large,13873,0.96067726877126,City,0.17647058823529413
72,Washington State University,Pullman,WA,2.1,Tier 4,N,78162.3,B,D,C,D,C,D,E,1.832785846375231,1,NA,NA,D,West Coast,D,68633.85444,TRUE,Public,22265,Large,15484,0.8310396371321,Town,0.17647058823529413
72,Worcester Polytechnic Institute,Worcester,MA,2.1,Tier 4,N,89694.90000000001,B,D,C,D,C,B,E,1.9765510471406054,0,NA,NA,C,Northeast,B,91083.4434,TRUE,Private,5146,Medium,44100,0.5747909302526,City,0.17647058823529413
79,Auburn University,Auburn,AL,2,Tier 4,Y,68630.40000000001,B,D,D,D,C,D,E,2.832949429619717,1,NA,NA,D,Southeast,D,75171.82212,TRUE,Public,25234,Large,24297,0.43744118355109,City,0.14705882352941174
79,University of Texas--San Antonio,San Antonio,TX,2,Tier 4,Y,79810.2,B,D,D,D,C,D,E,2.357864090753838,1,NA,NA,A,Southwest,A,66248.04288,TRUE,Public,29112,Large,12911,0.86898476067825,City,0.14705882352941174
79,Utah State University,Logan,UT,2,Tier 4,Y,74619.90000000001,B,D,C,D,C,D,E,2.324236434456799,1,NA,NA,C,West Coast,C,69758.86764,TRUE,Public,20573,Large,12620,0.93727052087871,City,0.14705882352941174
82,Montana State University,Bozeman,MT,1.9,Tier 4,N,57657.6,B,D,C,D,C,D,E,1.4653018219121199,1,NA,NA,C,West Coast,C,84836.56716,TRUE,Public,14343,Medium,19600,0.73334722511634,City,0.11764705882352937
82,New Jersey Institute of Technology,Newark,NJ,1.9,Tier 4,N,81447.3,B,D,C,D,C,B,E,1.6172119850338829,0,NA,NA,C,Northeast,A,90801.2532,TRUE,Public,8365,Medium,17955,0.6598770176787,City,0.11764705882352937
82,Northern Illinois University,DeKalb,IL,1.9,Tier 4,N,80131.5,B,D,C,D,C,D,E,1.3639630817005655,0,NA,NA,C,Midwest,B,84111.27492,TRUE,Public,11408,Medium,13484,0.70675243634682,Suburb,0.11764705882352937
82,University of Alabama,Tuscaloosa,AL,1.9,Tier 4,N,68630.40000000001,B,C,D,D,C,D,E,2.258646461547888,1,NA,NA,C,Southeast,B,73247.66832,TRUE,Public,31360,Very Large,20888,0.80059920106524,City,0.11764705882352937
86,Marquette University,Milwaukee,WI,1.8,Tier 4,Y,73476.90000000001,B,D,C,D,C,D,E,2.038041640643203,1,NA,NA,B,Midwest,A,72420.59556,TRUE,Private,7290,Medium,28637,0.87206447144745,City,0.08823529411764706
86,Oklahoma State University,Stillwater,OK,1.8,Tier 4,Y,66914.1,B,D,C,D,C,D,E,2.3583325529008743,1,NA,NA,C,Southwest,C,71900.04372,TRUE,Public,20362,Large,14505,0.70633467594287,Town,0.08823529411764706
86,Portland State University,Portland,OR,1.8,Tier 4,N,72812.7,B,D,C,D,C,D,E,1.4884552988041135,0,NA,NA,B,West Coast,A,96937.56072,TRUE,Public,14299,Medium,16281,0.93086045924804,City,0.08823529411764706
86,University of Arkansas,Fayetteville,AR,1.8,Tier 4,N,59760.9,B,D,D,D,C,D,E,2.959676828148947,1,NA,NA,C,Southwest,C,66482.75208,TRUE,Public,26002,Large,16050,0.7893130935581,City,0.08823529411764706
86,University of North Carolina--Greensboro,Greensboro,NC,1.8,Tier 4,N,72905.40000000001,B,D,C,D,C,D,E,1.6472514373062546,0,NA,NA,C,Southeast,B,68674.42644,TRUE,Public,13862,Medium,10907,0.91940946591402,City,0.08823529411764706
86,University of South Florida,Tampa,FL,1.8,Tier 4,N,71639.1,B,C,D,D,C,D,E,2.449405666442697,1,NA,NA,A,Southeast,A,76886.60832,TRUE,Public,36763,Very Large,9203,0.43925390434358,City,0.08823529411764706
92,Central Michigan University,Mount Pleasant,MI,1.7,Tier 4,N,76044.6,B,D,C,D,C,D,E,2.0103900345005954,1,NA,NA,D,Midwest,C,65116.14708,TRUE,Public,10297,Medium,14630,0.78947103781174,Town,0.058823529411764684
92,Michigan Technological University,Houghton,MI,1.7,Tier 4,N,76044.6,B,D,C,D,C,B,E,1.4749355744792914,0,NA,NA,D,Midwest,D,70862.39628,TRUE,Public,5633,Medium,16283,0.93677942480679,Town,0.058823529411764684
92,Old Dominion University,Norfolk,VA,1.7,Tier 4,N,76132.8,B,D,C,D,C,D,E,1.826649002002223,1,NA,NA,C,Southeast,B,77374.08792,TRUE,Public,18152,Large,15415,0.95143747835122,City,0.058823529411764684
92,University of Nevada--Reno,Reno,NV,1.7,Tier 4,Y,83907.90000000001,B,D,C,D,C,D,E,2.2258118346456626,1,NA,NA,B,West Coast,A,81642.80544,TRUE,Public,15896,Large,15198,0.85624600978931,City,0.058823529411764684
96,South Dakota State University,Madison,SD,1.6,Tier 4,N,66701.7,B,D,C,D,C,D,E,1.737310022779409,0,NA,NA,C,Midwest,C,69192.50232,TRUE,Public,8627,Medium,18125,0.86077938403519,Town,0.029411764705882377
96,University of Toledo,Toledo,OH,1.6,Tier 4,Y,67940.1,B,D,C,D,C,D,E,1.995700514005578,1,NA,NA,C,Midwest,B,65064.56472,TRUE,Public,10787,Medium,17142,0.92230616302186,City,0.029411764705882377
96,Western Michigan University,Kalamazoo,MI,1.6,Tier 4,Y,76044.6,B,D,C,D,C,D,E,1.9928945527245132,1,NA,NA,C,Midwest,C,72649.4532,TRUE,Public,13264,Medium,19884,0.84551973074484,City,0.029411764705882377
99,North Dakota State University,Fargo,ND,1.5,Tier 4,Y,64081.8,B,D,C,D,C,D,E,1.5393041004128563,0,NA,NA,C,Midwest,B,79386.29699999999,TRUE,Public,9795,Medium,16875,0.9567662565905,City,0
99,Oakland University,Rochester Hills,MI,1.5,Tier 4,N,76044.6,B,D,C,D,C,D,E,2.1119849724938438,1,NA,NA,C,Midwest,B,79596.8724,TRUE,Public,12626,Medium,12614,0.9005400540054,Suburb,0
99,University of Northern Colorado,Greeley,CO,1.5,Tier 4,Y,76690.8,B,D,C,D,C,D,E,1.5791518358737058,1,NA,NA,C,West Coast,C,85381.90464000001,TRUE,Public,6024,Medium,17465,0.7853962600178,City,0
